Company,Job Role,Skills Needed
Glance,Technical Product Owner,"Power BI, Encryption, NoSQL, Rust, Azure, Risk Analytics"
Slack,Bioinformatics Scientist,"Java, NoSQL, PyTorch, Cybersecurity, Go, Automation, Distributed Systems, Power BI, Kubernetes, Growth Hacking"
UBS,Robotics Software Engineer,"Figma, Git, SQL, Node.js, Cybersecurity, GCP, Java, UX Research, Growth Hacking"
Netflix,Backend Engineer,"Next.js, Distributed Systems, Shell Scripting, Terraform, GraphQL, CI/CD, Power BI, NLP, Testing"
Fractal Analytics,Frontend Engineer,"Distributed Systems, Linux, Cybersecurity, Smart Contracts, Web3, SQL, React, NoSQL, A/B Testing, Git"
BrowserStack,Backend Engineer,"Growth Hacking, Terraform, SEO, Linux, Azure, Power BI, Computer Vision, Microservices, Node.js, AWS, Cybersecurity"
KPMG India,Site Reliability Engineer,"Tableau, Encryption, Cybersecurity, NoSQL, Java, Distributed Systems, Smart Contracts, C++, Git, Data Visualization, Figma"
Red Hat,Search Relevance Engineer,"Cybersecurity, PyTorch, GraphQL, Scrum, Kanban, SQL, Zero Trust, Data Visualization"
Chargebee,Backend Engineer,"Shell Scripting, SQL, NLP, Computer Vision, Encryption, SEO, Microservices, Scikit-learn"
DeepMind,Technical Product Owner,"Data Visualization, Selenium, CI/CD, PyTorch, System Design, Prototyping, Go, Financial Modeling, AWS, Encryption, Azure"
Fractal Analytics,Computer Vision Engineer,"Go, Financial Modeling, Azure, Linux, Terraform, Cybersecurity, Encryption, GraphQL, Scrum"
BrowserStack,AR/VR Experience Designer,"Prototyping, Rust, Java, NoSQL, AWS, Power BI, Scikit-learn, Kubernetes"
PwC India,Mobile App Engineer,"Scikit-learn, Selenium, SQL, Zero Trust, Rust, SEO"
L&T Technology Services,FinTech Product Analyst,"Kubernetes, Go, Prototyping, Node.js, NoSQL, Web3, Python, Growth Hacking, Risk Analytics, Encryption, Docker"
UBS,Cloud Security Engineer,"Linux, Testing, NLP, Scrum, Docker, UX Research, PyTorch, GraphQL, Rust, NoSQL"
Vedantu,AI Ethics Researcher,"Prototyping, Selenium, Financial Modeling, Java, Scrum, PyTorch, Shell Scripting"
Unacademy,Backend Engineer,"Kubernetes, System Design, UX Research, Azure, Agile, Git, Microservices, GCP, Terraform, GraphQL, Cybersecurity"
Ather Energy,Site Reliability Engineer,"Testing, Growth Hacking, Next.js, Shell Scripting, Scikit-learn, Distributed Systems, Rust, Power BI"
Tiger Analytics,Quantum Computing Researcher,"SEO, Prototyping, Web3, Growth Hacking, Encryption, Next.js, Computer Vision, Testing"
Ola Electric,People Analytics Manager,"SQL, GraphQL, Kubernetes, PyTorch, NLP, Figma, A/B Testing, Zero Trust"
PhonePe,Sustainability Analyst,"CI/CD, Distributed Systems, Encryption, Testing, PyTorch, Agile, Docker, Terraform, SEO, C++"
Nykaa,Platform Engineer,"Encryption, NoSQL, Testing, System Design, Distributed Systems, Growth Hacking, Power BI"
OpenAI,Knowledge Graph Engineer,"Azure, SEO, AWS, Microservices, Automation, Rust"
Slack,AR/VR Experience Designer,"PyTorch, Automation, Java, CI/CD, Scikit-learn, Data Visualization, Node.js, Smart Contracts"
Upstox,Revenue Operations Analyst,"Encryption, System Design, Testing, Growth Hacking, Scikit-learn, CI/CD, Smart Contracts, Selenium, Terraform, Web3"
Mindtree,Autonomous Systems Engineer,"AWS, Java, Docker, Next.js, Tableau, Encryption, Prototyping, TensorFlow"
Meesho,Robotics Software Engineer,"Scikit-learn, NoSQL, Git, Automation, SQL, Go, Tableau"
DeepMind,MLOps Engineer,"Java, Node.js, Smart Contracts, NoSQL, Automation, Data Visualization, React, SQL"
Deloitte India,Frontend Engineer,"Figma, Tableau, Docker, Go, Scikit-learn, Growth Hacking, System Design, Linux, Rust"
Vedantu,MLOps Engineer,"UX Research, Zero Trust, C++, Scrum, Selenium, TensorFlow"
Postman,Backend Engineer,"Figma, Linux, React, Terraform, NoSQL, Encryption, Computer Vision, Growth Hacking"
PolicyBazaar,Release Engineer,"SQL, Microservices, Kubernetes, Zero Trust, Tableau, Kanban, GraphQL, C++, Scikit-learn, Data Visualization, Automation"
Netflix,Crypto Research Analyst,"Kanban, C++, Data Visualization, Docker, Power BI, UX Research, GCP"
Tiger Analytics,Platform Engineer,"React, Java, Power BI, Blockchain, TensorFlow, Computer Vision, Selenium, Next.js, A/B Testing"
Mindtree,Backend Engineer,"Tableau, Kanban, Power BI, Node.js, Kubernetes, Terraform, Smart Contracts, A/B Testing, Git"
Ather Energy,Crypto Research Analyst,"Smart Contracts, TensorFlow, Microservices, NLP, Blockchain, Kubernetes"
UBS,AdTech Optimization Specialist,"React, Shell Scripting, Terraform, Growth Hacking, Web3, GCP"
Nykaa,Frontend Engineer,"Microservices, PyTorch, Scrum, Power BI, NLP, C++, Distributed Systems"
DigitalOcean,Frontend Engineer,"Git, AWS, Shell Scripting, Agile, Risk Analytics, Tableau, Kanban, SQL, GCP"
Noise,Game Engine Developer,"Kanban, GraphQL, Git, Node.js, Agile, Growth Hacking"
Ather Energy,Robotics Software Engineer,"Power BI, TensorFlow, Testing, Terraform, PyTorch, C++, Microservices"
KPMG India,Revenue Operations Analyst,"Tableau, Linux, Java, SQL, Microservices, React, A/B Testing, Distributed Systems"
Tata Elxsi,Cloud Security Engineer,"SQL, Shell Scripting, CI/CD, Web3, Growth Hacking, Node.js"
Canonical,Search Relevance Engineer,"CI/CD, React, Scrum, System Design, Docker, Figma, Python, Distributed Systems, Terraform, A/B Testing"
Zoho,Knowledge Graph Engineer,"SEO, Kanban, System Design, Selenium, Power BI, Computer Vision"
DigitalOcean,Build Engineer,"Cybersecurity, Terraform, Financial Modeling, React, Prototyping, NoSQL, GCP, SEO, NLP, GraphQL"
Mindtree,Computer Vision Engineer,"React, Shell Scripting, Kanban, SQL, Java, Financial Modeling, Scikit-learn, NoSQL, System Design, Prototyping, Cybersecurity, Docker"
Freshworks,Speech Recognition Engineer,"Distributed Systems, Linux, Figma, GCP, TensorFlow, Risk Analytics, System Design, Scrum, PyTorch, Automation, UX Research, Testing"
Mindtree,Prompt Engineer,"Risk Analytics, Zero Trust, Computer Vision, Blockchain, Next.js, Microservices"
Mu Sigma,Product Growth Manager,"Scrum, GraphQL, Financial Modeling, System Design, Cybersecurity, Zero Trust, Shell Scripting"
Ather Energy,Site Reliability Engineer,"Figma, Azure, System Design, NoSQL, Scikit-learn, Go"
Spotify,Supply Chain Data Scientist,"A/B Testing, NLP, Scrum, GraphQL, Blockchain, AWS, Financial Modeling, Web3, React"
Meesho,Release Engineer,"Web3, Selenium, SQL, Rust, Financial Modeling, CI/CD, Terraform, Microservices, Blockchain, NoSQL, Shell Scripting"
Slack,Speech Recognition Engineer,"Web3, Azure, Node.js, Zero Trust, UX Research, SEO, Distributed Systems, Automation, CI/CD, Risk Analytics"
Unacademy,HR Tech Analyst,"Power BI, Go, SQL, UX Research, Agile, Financial Modeling, CI/CD, Scrum, Docker, Node.js, Zero Trust, Risk Analytics"
DigitalOcean,Site Reliability Engineer,"Testing, Go, A/B Testing, Data Visualization, Kubernetes, Selenium"
Vedantu,Full Stack Engineer,"Power BI, Git, SEO, GCP, Python, Scikit-learn, Financial Modeling, NoSQL, Data Visualization, Next.js, PyTorch, Computer Vision"
Credit Suisse,Technical Product Owner,"C++, Next.js, AWS, Prototyping, Python, A/B Testing, UX Research"
Mindtree,Supply Chain Data Scientist,"Data Visualization, C++, NoSQL, Git, Agile, Scikit-learn, NLP, Cybersecurity, Python, PyTorch"
CRED,Backend Engineer,"SQL, Power BI, Cybersecurity, TensorFlow, Figma, Python, Node.js, Tableau, UX Research, Web3, Zero Trust, Agile"
Nomura,Customer Experience Strategist,"Testing, Tableau, GraphQL, SEO, A/B Testing, Selenium, Agile"
BrowserStack,Quantum Computing Researcher,"SEO, GraphQL, Power BI, Python, UX Research, Prototyping, Zero Trust, Go, Tableau, GCP, A/B Testing"
PwC India,Full Stack Engineer,"Node.js, System Design, Azure, Java, Cybersecurity, Testing, SQL, Data Visualization, UX Research, Web3, Zero Trust, GCP"
Birlasoft,Quantum Computing Researcher,"Prototyping, Go, Node.js, TensorFlow, React, Distributed Systems, Selenium, GraphQL"
Groww,Autonomous Systems Engineer,"Automation, TensorFlow, Tableau, Kubernetes, CI/CD, Growth Hacking, Python, Financial Modeling, Linux, Web3, NLP"
Spotify,Knowledge Graph Engineer,"Agile, Power BI, TensorFlow, Java, Distributed Systems, Azure, Computer Vision, SEO, Rust, Automation, Figma"
Anthropic,Quantum Computing Researcher,"SEO, Data Visualization, Azure, Docker, Prototyping, Agile, Terraform, Microservices, Node.js, UX Research"
Nomura,Full Stack Engineer,"React, Scrum, Testing, A/B Testing, TensorFlow, Docker, Terraform"
Ola Electric,AdTech Optimization Specialist,"Testing, React, Linux, SEO, Distributed Systems, Encryption, Next.js, Zero Trust, System Design, Kubernetes"
Netflix,Backend Engineer,"Risk Analytics, A/B Testing, Shell Scripting, React, UX Research, Linux"
KPMG India,Autonomous Systems Engineer,"Microservices, Selenium, Risk Analytics, Next.js, Java, GCP, Python, Figma"
Slack,Backend Engineer,"Git, Blockchain, Python, Growth Hacking, TensorFlow, Web3, NLP, Linux, Java, Shell Scripting, Zero Trust"
Red Hat,Mobile App Engineer,"Azure, UX Research, Go, Kanban, Zero Trust, Web3, Selenium, Data Visualization"
Vedantu,Crypto Research Analyst,"Next.js, Blockchain, CI/CD, Rust, Node.js, Computer Vision, SQL, Terraform"
Vedantu,Cloud Security Engineer,"Selenium, Risk Analytics, Docker, Distributed Systems, GCP, Java"
Pinterest,Release Engineer,"SQL, Kanban, TensorFlow, GCP, Java, Go, Kubernetes, Smart Contracts, CI/CD, SEO, Linux"
Unacademy,Search Relevance Engineer,"Tableau, Blockchain, Selenium, Node.js, NoSQL, A/B Testing, SEO, Data Visualization, Microservices, Growth Hacking, Rust"
InMobi,Search Relevance Engineer,"Blockchain, Linux, Data Visualization, Scikit-learn, NLP, SQL, C++, Git"
Slack,Release Engineer,"Testing, AWS, UX Research, Cybersecurity, Go, SEO, NoSQL, Next.js"
Meesho,Quantum Computing Researcher,"Scikit-learn, Web3, Kanban, Computer Vision, NoSQL, Tableau, SEO"
Tiger Analytics,Game Engine Developer,"Data Visualization, System Design, Selenium, TensorFlow, Node.js, Go, Computer Vision, Shell Scripting"
Tiger Analytics,Crypto Research Analyst,"Agile, Blockchain, CI/CD, Encryption, Automation, Rust, Risk Analytics"
Deutsche Bank,Frontend Engineer,"Selenium, Zero Trust, Blockchain, Linux, Data Visualization, GraphQL, GCP"
EY India,Robotics Software Engineer,"Git, GCP, Kanban, Financial Modeling, C++, Web3"
PhonePe,AdTech Optimization Specialist,"Kubernetes, Terraform, SQL, AWS, System Design, Tableau"
Mu Sigma,Knowledge Graph Engineer,"C++, Node.js, Testing, SEO, Encryption, NLP"
Fractal Analytics,Supply Chain Data Scientist,"A/B Testing, Java, Selenium, Automation, Web3, AWS, C++, Rust"
CRED,Site Reliability Engineer,"Tableau, Azure, Microservices, Zero Trust, NLP, Kanban, SEO, AWS"
Anthropic,AR/VR Experience Designer,"Git, Azure, Java, Encryption, Data Visualization, Docker"
Fractal Analytics,Robotics Software Engineer,"Tableau, React, GraphQL, Rust, AWS, Encryption"
Deutsche Bank,FinTech Product Analyst,"Python, Cybersecurity, NoSQL, Risk Analytics, C++, Financial Modeling, Figma, Data Visualization, React"
Fractal Analytics,Sustainability Analyst,"Testing, Cybersecurity, Scrum, Risk Analytics, Data Visualization, GCP, C++, Automation, Shell Scripting, Zero Trust, Selenium"
Credit Suisse,Marketing Data Scientist,"Data Visualization, Automation, Cybersecurity, Prototyping, Selenium, Blockchain, A/B Testing, Java, Kanban, Risk Analytics, Rust"
Upstox,Mobile App Engineer,"Kanban, Encryption, Blockchain, Selenium, Node.js, Microservices, UX Research, Risk Analytics, Go, Python, Growth Hacking"
Chargebee,FinTech Product Analyst,"NoSQL, A/B Testing, Python, React, Azure, SEO, Kanban, Encryption, GraphQL, Go, SQL, Computer Vision"
Ather Energy,Full Stack Engineer,"NoSQL, NLP, React, Smart Contracts, Financial Modeling, Rust, Linux, Kanban, Docker, Git, Data Visualization, Azure"
UBS,AdTech Optimization Specialist,"Microservices, Web3, System Design, GCP, UX Research, AWS, Rust, Git, CI/CD"
UBS,Robotics Software Engineer,"Figma, Java, Agile, Git, A/B Testing, System Design, Zero Trust"
Zoho,Autonomous Systems Engineer,"Node.js, Microservices, Selenium, NoSQL, Growth Hacking, Next.js"
Ola Electric,Robotics Software Engineer,"Blockchain, Selenium, Tableau, Encryption, Cybersecurity, NoSQL, Next.js, Figma, TensorFlow, System Design"
PwC India,Backend Engineer,"Encryption, Smart Contracts, Java, React, CI/CD, A/B Testing, Power BI, Selenium, Figma, UX Research"
Mu Sigma,Robotics Software Engineer,"Go, React, UX Research, Selenium, Distributed Systems, Scrum, Linux, Growth Hacking, SEO, Zero Trust, Terraform, AWS"
Unacademy,MLOps Engineer,"Go, Financial Modeling, Web3, Git, TensorFlow, Computer Vision, Node.js, Blockchain, Java"
PhonePe,FinTech Product Analyst,"Scikit-learn, Shell Scripting, Agile, Cybersecurity, React, CI/CD, Kubernetes, Azure, A/B Testing, Java"
Mu Sigma,Platform Engineer,"Smart Contracts, UX Research, Scikit-learn, NoSQL, Growth Hacking, GraphQL, Zero Trust, Financial Modeling, Figma, Python"
UBS,Game Engine Developer,"Node.js, Blockchain, GCP, Docker, PyTorch, Financial Modeling, Next.js, Go"
Ola Electric,HR Tech Analyst,"Testing, Python, Power BI, Figma, Selenium, Tableau, Microservices, SQL, Linux, Shell Scripting, TensorFlow, Web3"
Mphasis,Build Engineer,"Rust, Web3, Terraform, Agile, GraphQL, Blockchain, Zero Trust, C++"
Netflix,Revenue Operations Analyst,"Encryption, Tableau, Java, AWS, React, NLP, Git, C++"
Freshworks,Prompt Engineer,"Financial Modeling, C++, Next.js, Power BI, Node.js, Cybersecurity"
Ather Energy,Computer Vision Engineer,"Zero Trust, SQL, GraphQL, NLP, Scikit-learn, Encryption, Python, Growth Hacking, Azure, Terraform, Power BI, PyTorch"
InMobi,Game Engine Developer,"Cybersecurity, Figma, Automation, Agile, C++, Azure, GraphQL, Node.js"
OpenAI,Sustainability Analyst,"AWS, Node.js, UX Research, Linux, Computer Vision, React, Figma, NoSQL, Automation, Azure"
L&T Technology Services,Product Growth Manager,"Scikit-learn, Rust, SEO, System Design, Testing, Automation, Kanban"
KPMG India,Data Engineer,"Shell Scripting, Scikit-learn, Web3, Cybersecurity, Azure, Next.js, Microservices, Agile, SEO, GraphQL"
Netflix,Knowledge Graph Engineer,"Selenium, Testing, PyTorch, Kanban, Terraform, Risk Analytics, Agile"
Meesho,AI Ethics Researcher,"Distributed Systems, NLP, A/B Testing, Figma, Scikit-learn, SEO"
Mindtree,Full Stack Engineer,"Git, Tableau, AWS, Shell Scripting, Data Visualization, React, NoSQL, Smart Contracts"
Mphasis,Marketing Data Scientist,"SEO, Next.js, System Design, Java, Testing, Go"
Netflix,Backend Engineer,"Docker, Microservices, Web3, Azure, Blockchain, Prototyping, Data Visualization, Shell Scripting, Kubernetes, PyTorch, Cybersecurity"
Spotify,Frontend Engineer,"Encryption, React, Rust, System Design, Cybersecurity, TensorFlow, Web3, GraphQL, Testing, Scrum, Terraform"
L&T Technology Services,Supply Chain Data Scientist,"C++, Java, Azure, Shell Scripting, Data Visualization, Blockchain, Next.js, Growth Hacking, SQL, Testing, SEO, Computer Vision"
Credit Suisse,Knowledge Graph Engineer,"Scrum, React, C++, Java, Python, Figma, Risk Analytics, Go, GCP, Scikit-learn, System Design, Terraform"
Mindtree,Quantum Computing Researcher,"Shell Scripting, Risk Analytics, Cybersecurity, Prototyping, Next.js, AWS, Rust, SQL, Encryption, Blockchain"
Canonical,Sustainability Analyst,"Figma, Risk Analytics, Agile, Terraform, PyTorch, UX Research, CI/CD, Testing, Node.js, GCP"
PolicyBazaar,Cloud Security Engineer,"Computer Vision, Tableau, Power BI, Go, Kanban, CI/CD, Encryption, Testing"
Slack,Frontend Engineer,"GraphQL, Scrum, C++, Python, Node.js, Prototyping, Java"
Fractal Analytics,AR/VR Experience Designer,"Microservices, Blockchain, Rust, System Design, SQL, Financial Modeling, Shell Scripting, Figma, Java, Python"
Slack,Platform Engineer,"Go, System Design, C++, Risk Analytics, Terraform, Smart Contracts, SEO, Next.js, React, Power BI"
Fastly,Crypto Research Analyst,"Microservices, Blockchain, NLP, Cybersecurity, Automation, Linux, UX Research, Git, Terraform, Next.js, Go, Prototyping"
Glance,Computer Vision Engineer,"UX Research, Shell Scripting, Automation, Scrum, NoSQL, Linux"
Nomura,Product Growth Manager,"Selenium, Financial Modeling, Growth Hacking, Figma, Agile, Distributed Systems, System Design, Scrum, React, SEO, Zero Trust, SQL"
Nykaa,MLOps Engineer,"Terraform, Selenium, React, Scikit-learn, A/B Testing, NoSQL, Docker, AWS"
Canonical,DevSecOps Engineer,"NoSQL, PyTorch, Computer Vision, GraphQL, Kanban, Kubernetes, Web3, Agile, GCP, A/B Testing"
Deutsche Bank,Mobile App Engineer,"A/B Testing, NLP, Azure, Node.js, Scrum, Shell Scripting, GraphQL, TensorFlow, NoSQL"
PwC India,Full Stack Engineer,"Distributed Systems, A/B Testing, Cybersecurity, Testing, Growth Hacking, SQL, C++, Azure, Linux, Blockchain"
Pinterest,Site Reliability Engineer,"Power BI, Selenium, Web3, Python, Agile, Growth Hacking, Distributed Systems, Scikit-learn, React, PyTorch, Cybersecurity"
Boat Lifestyle,Product Growth Manager,"Microservices, SQL, Shell Scripting, Linux, Web3, Smart Contracts"
Fastly,DevSecOps Engineer,"Power BI, Agile, Scikit-learn, Blockchain, GraphQL, Figma, System Design"
L&T Technology Services,Frontend Engineer,"C++, A/B Testing, Web3, Testing, Encryption, GraphQL, Terraform, React, Automation"
ShareChat,AI Ethics Researcher,"UX Research, Risk Analytics, Kanban, Data Visualization, Automation, C++, TensorFlow"
Deloitte India,Platform Engineer,"PyTorch, NoSQL, Distributed Systems, C++, Linux, Risk Analytics, Rust, Zero Trust"
KPMG India,Revenue Operations Analyst,"TensorFlow, Distributed Systems, CI/CD, NoSQL, GraphQL, Data Visualization"
Ola Electric,Search Relevance Engineer,"Terraform, Shell Scripting, Zero Trust, CI/CD, Encryption, Microservices, Kubernetes, Agile, Figma, Selenium, Scrum"
Unacademy,Customer Experience Strategist,"Prototyping, A/B Testing, NoSQL, Computer Vision, Go, GCP, AWS, Kubernetes, C++, Growth Hacking"
Pinterest,Computer Vision Engineer,"Risk Analytics, Node.js, GCP, Figma, PyTorch, React, SEO, AWS, SQL, System Design, Tableau, A/B Testing"
Deloitte India,Backend Engineer,"Automation, Shell Scripting, Power BI, Financial Modeling, Cybersecurity, Kanban, Tableau, C++, TensorFlow, Kubernetes, Git"
Glance,AR/VR Experience Designer,"Linux, Data Visualization, Computer Vision, UX Research, Blockchain, TensorFlow"
Infosys Finacle,Site Reliability Engineer,"Kubernetes, Azure, System Design, NoSQL, A/B Testing, Risk Analytics, Financial Modeling"
Infosys Finacle,Knowledge Graph Engineer,"Agile, Azure, Power BI, Kanban, Automation, Data Visualization, Encryption, Smart Contracts, Selenium, Risk Analytics, Computer Vision, Go"
Ola Electric,Game Engine Developer,"Shell Scripting, Computer Vision, Agile, Node.js, Next.js, Python, Figma, Encryption, Rust, Scikit-learn, NoSQL, System Design"
Ather Energy,Autonomous Systems Engineer,"UX Research, Node.js, CI/CD, Shell Scripting, Computer Vision, Microservices, Web3"
Meesho,Bioinformatics Scientist,"Kubernetes, Data Visualization, Power BI, Python, Scikit-learn, Kanban, GraphQL, UX Research"
UBS,HR Tech Analyst,"Java, Python, Docker, Computer Vision, PyTorch, Shell Scripting, Azure, Scikit-learn"
Vedantu,Crypto Research Analyst,"Terraform, Azure, Testing, Rust, SEO, Scikit-learn, Kubernetes, GraphQL, TensorFlow, Python"
CRED,DevSecOps Engineer,"Computer Vision, Zero Trust, System Design, Linux, Shell Scripting, Data Visualization, Git, UX Research, TensorFlow, Python, Growth Hacking, Go"
Meesho,Quantum Computing Researcher,"Agile, PyTorch, Shell Scripting, Docker, CI/CD, AWS, TensorFlow, Zero Trust, Distributed Systems, Blockchain, Prototyping"
Red Hat,AI Ethics Researcher,"NLP, GCP, Cybersecurity, Next.js, Git, Zero Trust"
Freshworks,IoT Solutions Architect,"Terraform, SQL, Docker, Testing, UX Research, Python, Next.js, Microservices, Shell Scripting"
PwC India,MLOps Engineer,"GCP, Power BI, Java, C++, Azure, A/B Testing"
Fractal Analytics,Platform Engineer,"Git, Tableau, Azure, Selenium, NoSQL, NLP, Kanban, SEO, GCP, Java, A/B Testing, Figma"
InMobi,Frontend Engineer,"Kubernetes, System Design, PyTorch, Prototyping, TensorFlow, Scrum, Blockchain, Risk Analytics"
Tiger Analytics,Robotics Software Engineer,"React, Agile, Encryption, Smart Contracts, Financial Modeling, Zero Trust, Cybersecurity"
Postman,Technical Product Owner,"Terraform, Web3, Kanban, Distributed Systems, Go, Microservices, Financial Modeling, NLP, Docker"
Deutsche Bank,Quantum Computing Researcher,"TensorFlow, System Design, Git, CI/CD, Cybersecurity, Microservices, Encryption, Prototyping, Java, PyTorch, GraphQL, C++"
PwC India,Backend Engineer,"Terraform, Docker, Python, Go, GCP, Selenium, Kanban, NLP"
Ola Electric,Frontend Engineer,"Terraform, Web3, Agile, A/B Testing, React, Automation"
Hugging Face,Robotics Software Engineer,"React, C++, Data Visualization, Tableau, Cybersecurity, NoSQL, Shell Scripting, Kanban, TensorFlow, Prototyping, Computer Vision"
Unacademy,Mobile App Engineer,"Zero Trust, System Design, Web3, SQL, Smart Contracts, CI/CD, Risk Analytics, Cybersecurity, NLP, PyTorch, Azure"
OpenAI,Full Stack Engineer,"Figma, Cybersecurity, Microservices, Blockchain, Data Visualization, Next.js, Power BI, GCP, Linux, Kubernetes, Risk Analytics, Testing"
Spotify,Build Engineer,"PyTorch, Automation, Zero Trust, Prototyping, React, Java, Computer Vision, Figma, Node.js, Blockchain, Kubernetes, Kanban"
Cloudflare,Build Engineer,"Terraform, Python, SQL, Distributed Systems, Linux, Shell Scripting, Azure, CI/CD, UX Research, Prototyping"
PwC India,Computer Vision Engineer,"System Design, Data Visualization, Zero Trust, Financial Modeling, Kubernetes, Risk Analytics, Rust"
Postman,Technical Product Owner,"Computer Vision, AWS, Zero Trust, PyTorch, UX Research, React"
Cohere,Quantum Computing Researcher,"TensorFlow, Agile, GraphQL, Scikit-learn, SEO, Git, PyTorch, Java, Terraform, Zero Trust, Selenium, React"
KPMG India,Product Growth Manager,"Docker, GCP, Testing, Scikit-learn, Scrum, PyTorch, Rust, Data Visualization, Kanban, SEO, Shell Scripting"
EY India,Product Growth Manager,"Power BI, Node.js, GCP, Data Visualization, GraphQL, PyTorch, A/B Testing, Agile, Smart Contracts"
Slack,Game Engine Developer,"System Design, Zero Trust, Smart Contracts, Data Visualization, Shell Scripting, Agile, Scikit-learn"
Red Hat,Digital Twin Engineer,"Python, Kubernetes, Java, Git, TensorFlow, Azure, NLP, Tableau, C++, Distributed Systems"
DeepMind,AI Ethics Researcher,"GraphQL, Figma, PyTorch, Growth Hacking, Rust, Prototyping, Risk Analytics, React, Encryption, Shell Scripting"
DigitalOcean,Autonomous Systems Engineer,"Blockchain, Web3, SQL, React, Testing, C++, Kanban, Financial Modeling"
Ather Energy,AI Ethics Researcher,"Tableau, Linux, Power BI, Kubernetes, Computer Vision, Terraform, TensorFlow"
Zoho,AI Ethics Researcher,"Prototyping, NLP, React, SQL, Data Visualization, Blockchain, NoSQL, Distributed Systems, Shell Scripting, Cybersecurity, Next.js"
DeepMind,AR/VR Experience Designer,"Blockchain, Go, Risk Analytics, Cybersecurity, Tableau, Smart Contracts, C++, Kubernetes"
Cohere,IoT Solutions Architect,"Web3, Smart Contracts, TensorFlow, AWS, Node.js, Scrum, Data Visualization, Growth Hacking, Zero Trust, Tableau, A/B Testing"
Spotify,Cloud Security Engineer,"NoSQL, TensorFlow, Java, Agile, CI/CD, A/B Testing, Distributed Systems, Testing, Git"
Boat Lifestyle,AR/VR Experience Designer,"Cybersecurity, System Design, Shell Scripting, Growth Hacking, Web3, Scrum, Docker, CI/CD, SEO, Figma"
Mphasis,IoT Solutions Architect,"NoSQL, UX Research, Linux, Go, Web3, PyTorch"
Tiger Analytics,Release Engineer,"GCP, Financial Modeling, Tableau, Linux, Growth Hacking, Data Visualization"
Ola Electric,Cloud Security Engineer,"Java, Encryption, Distributed Systems, Risk Analytics, Growth Hacking, Data Visualization, SQL, Cybersecurity"
Glance,Frontend Engineer,"A/B Testing, Shell Scripting, Cybersecurity, TensorFlow, Scikit-learn, Blockchain, SQL, Linux"
Mphasis,Bioinformatics Scientist,"Linux, SEO, Financial Modeling, Docker, Tableau, Selenium, Growth Hacking, PyTorch, Kanban"
Anthropic,Digital Twin Engineer,"Distributed Systems, Azure, Zero Trust, Terraform, Docker, Computer Vision, Rust, SEO, SQL"
Meesho,Robotics Software Engineer,"GraphQL, CI/CD, Blockchain, A/B Testing, UX Research, Data Visualization, Azure"
DigitalOcean,Technical Product Owner,"Selenium, Growth Hacking, React, C++, NLP, Zero Trust, Computer Vision, GraphQL, SQL, Distributed Systems, Smart Contracts, AWS"
Fractal Analytics,Data Engineer,"AWS, Power BI, Selenium, Data Visualization, Azure, React, Python, C++, Linux, GraphQL, Kanban, Microservices"
OpenAI,Quantum Computing Researcher,"Linux, React, PyTorch, Scikit-learn, SEO, Computer Vision, Shell Scripting, AWS, Prototyping"
Cloudflare,Technical Product Owner,"Data Visualization, A/B Testing, Git, Automation, System Design, Shell Scripting, Kanban"
Fastly,Prompt Engineer,"Scrum, TensorFlow, Zero Trust, Terraform, Growth Hacking, Linux, NLP, Encryption, Scikit-learn, Docker, Smart Contracts, GCP"
Nomura,Technical Product Owner,"Power BI, Risk Analytics, Selenium, C++, Encryption, Linux, Distributed Systems, Testing"
Ather Energy,Knowledge Graph Engineer,"Computer Vision, NLP, AWS, Git, Shell Scripting, PyTorch, CI/CD, Microservices, Smart Contracts, Selenium, Prototyping"
Unacademy,FinTech Product Analyst,"Tableau, Microservices, NLP, SQL, Financial Modeling, Distributed Systems"
Groww,FinTech Product Analyst,"Figma, A/B Testing, Node.js, GraphQL, Linux, Computer Vision, Blockchain"
DigitalOcean,Search Relevance Engineer,"Go, Microservices, Rust, Kanban, CI/CD, Prototyping, Testing, UX Research, A/B Testing, Distributed Systems, Growth Hacking"
Canonical,Autonomous Systems Engineer,"Zero Trust, Next.js, AWS, Tableau, Microservices, A/B Testing, Figma"
Dropbox,Revenue Operations Analyst,"Kanban, Cybersecurity, Next.js, Linux, Encryption, Rust"
Pinterest,FinTech Product Analyst,"PyTorch, Prototyping, Data Visualization, Testing, Power BI, GCP, Git, SEO, Kanban"
Unacademy,AI Ethics Researcher,"Figma, Microservices, Encryption, SEO, Smart Contracts, Rust, Selenium, Java"
Vedantu,Supply Chain Data Scientist,"Python, React, Linux, C++, Node.js, SEO, Docker, Computer Vision, Terraform"
PolicyBazaar,Cloud Security Engineer,"Smart Contracts, SEO, Testing, Docker, Zero Trust, Figma, Microservices, System Design"
Dropbox,Backend Engineer,"Docker, PyTorch, Node.js, Python, Tableau, NoSQL"
DeepMind,AdTech Optimization Specialist,"Linux, Risk Analytics, Data Visualization, Azure, Java, Computer Vision, Shell Scripting, Web3, Kubernetes, Growth Hacking"
ShareChat,IoT Solutions Architect,"Azure, GCP, Git, Power BI, Distributed Systems, Scikit-learn, Shell Scripting"
EY India,Speech Recognition Engineer,"Kubernetes, A/B Testing, Tableau, Terraform, Rust, Figma, C++, Kanban"
